simulation,n_disasters,total_appropriation,mean_appropriation
4770,1,154722.0063299705,154722.0063299705
4771,1,4184273.411131319,4184273.411131319
4772,6,210579876.10483545,35096646.01747257
4773,1,46370263.94901487,46370263.94901487
4774,2,1678464528.806898,839232264.403449
4775,1,13703747.56106715,13703747.56106715
4776,5,122571791.0543833,24514358.21087666
4777,1,1872535.360382556,1872535.360382556
4778,5,13855684.424559198,2771136.88491184
4779,1,5184524.442376024,5184524.442376024
4780,3,17560789.772758525,5853596.590919509
4781,1,79185952.66587965,79185952.66587965
4782,1,7066990.727048423,7066990.727048423
4783,1,52923631.32993707,52923631.32993707
4784,6,80584076.74644896,13430679.457741493
4785,1,22575312.016675543,22575312.016675543
4786,1,8539928.662205162,8539928.662205162
4787,5,63695250.80940361,12739050.161880722
4788,6,21017835.196038127,3502972.5326730213
4789,5,330055760.82114017,66011152.16422804
4790,1,7546846.60358749,7546846.60358749
4791,1,12004570.839182368,12004570.839182368
